,financial_year,town,room_type,min_selling_price,max_selling_price,min_selling_price_less_ahg_shg,max_selling_price_less_ahg_shg,project_id
121,2014,Woodlands,2-room,72000.0,131000.0,12000.0,71000.0,36
122,2014,Woodlands,3-room,144000.0,197000.0,94000.0,147000.0,36
123,2014,Woodlands,4-room,229000.0,312000.0,194000.0,277000.0,36
124,2014,Woodlands,5-room,308000.0,396000.0,298000.0,386000.0,36
125,2014,Sembawang,2-room,73000.0,119000.0,13000.0,59000.0,37
126,2014,Sembawang,3-room,148000.0,185000.0,98000.0,135000.0,37
127,2014,Sembawang,4-room,236000.0,301000.0,201000.0,266000.0,37
129,2014,Sengkang,2-room,90000.0,135000.0,30000.0,75000.0,38
130,2014,Sengkang,3-room,164000.0,208000.0,114000.0,158000.0,38
131,2014,Sengkang,4-room,267000.0,335000.0,232000.0,300000.0,38
133,2014,Yishun,2-room,73000.0,123000.0,13000.0,63000.0,39
134,2014,Yishun,3-room,149000.0,177000.0,99000.0,127000.0,39
135,2014,Yishun,4-room,240000.0,318000.0,205000.0,283000.0,39
136,2014,Yishun,5-room,339000.0,409000.0,329000.0,399000.0,39
137,2015,Bukit Batok,2-room,84000.0,134000.0,5000.0,54000.0,40
138,2015,Bukit Batok,3-room,161000.0,202000.0,91000.0,132000.0,40
139,2015,Bukit Batok,4-room,266000.0,325000.0,211000.0,270000.0,40
140,2015,Bukit Batok,5-room,367000.0,424000.0,357000.0,414000.0,40
141,2015,Punggol,2-room,84000.0,145000.0,5000.0,65000.0,41
142,2015,Punggol,3-room,173000.0,223000.0,103000.0,153000.0,41
143,2015,Punggol,4-room,277000.0,372000.0,222000.0,317000.0,41
144,2015,Punggol,5-room,364000.0,489000.0,354000.0,479000.0,41
145,2015,Sembawang,2-room,75000.0,123000.0,4000.0,43000.0,42
146,2015,Sembawang,3-room,152000.0,188000.0,82000.0,118000.0,42
147,2015,Sembawang,4-room,238000.0,302000.0,183000.0,247000.0,42
149,2015,Sengkang,2-room,80000.0,137000.0,4000.0,57000.0,43
150,2015,Sengkang,3-room,159000.0,202000.0,89000.0,132000.0,43
151,2015,Sengkang,4-room,252000.0,330000.0,197000.0,275000.0,43
152,2015,Sengkang,5-room,320000.0,402000.0,310000.0,392000.0,43
153,2016,Bukit Panjang,2-room,73000.0,139000.0,4000.0,59000.0,44
